sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
230,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:16",,,,,"nicht frostsicher",,,,0,/2/0/2006st8_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Aksobhya Steinstatue A 20cm",,,"Product Info Column",,199.0000,0,"Aksobhya Steinstatue A 20cm",/2/0/2006st8_7.jpg,,,,,1,5,no_selection,,"2015-04-07 14:51:53",aksobhya-kupferstatue-8cm,aksobhya-kupferstatue-8cm.html,4,10.0000,1.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Buddhas/Aksobhya,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:16",,,,,"Aksobhya Steinstatue A 17cm",,,,0,/2/0/2006_st2_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Aksobhya Steinstatue A 17cm",,,"Product Info Column",,179.0002,0,"Aksobhya Steinstatue A 17cm",/2/0/2006_st2_7.jpg,,,,,1,5,no_selection,,"2015-04-07 14:51:53",aksobhya-teilvergoldete-kupferstatue-8cm,aksobhya-teilvergoldete-kupferstatue-8cm.html,4,10.0000,1.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Buddhas/Aksobhya,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:16",,,,,"Aksobhya Steinstatue A 14cm",,,,0,/2/0/2007st4_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Aksobhya Steinstatue A 14cm",,,"Product Info Column",,99.0000,0,"Aksobhya Steinstatue A 14cm",/2/0/2007st4_7.jpg,,,,,1,5,no_selection,,"2015-04-07 14:51:53",aksobhya-giessstatue-12-5cm,aksobhya-giessstatue-12-5cm.html,4,10.0000,1.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Buddhas/Aksobhya,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:16",,,,,"Aksobhya vollvergoldete Kupferstatue 7,5cm",,,,0,/2/0/2007_aksobhya3_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Aksobhya vollvergoldete Kupferstatue 7,5cm",,,"Product Info Column",,70.0000,0,"Aksobhya vollvergoldete Kupferstatue 7,5cm",/2/0/2007_aksobhya3_7.jpg,,,,,1,5,no_selection,,"2015-04-07 14:51:53",aksobhya-vollvergoldete-kupferstatue-stele-27cm,aksobhya-vollvergoldete-kupferstatue-stele-27cm.html,4,10.0000,1.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Buddhas/Aksobhya,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,Default,simple,Buddhas,Shop,base,,,,"2015-03-22 18:58:16",,,,,"Aksobhya vollvergoldete Kupferstatue 38cm",,,,0,/c/i/cintamani264_7.jpg,,,,,,,,,"Konfiguration benützen","Konfiguration benützen","Aksobhya vollvergoldete Kupferstatue 38cm",,,"Product Info Column",,1550.0000,0,"Aksobhya vollvergoldete Kupferstatue 38cm",/c/i/cintamani264_7.jpg,,,,,1,5,/c/i/cintamani264_7.jpg,,"2015-04-07 14:51:53",aksobhya-vollvergoldete-kupferstatue-38cm,aksobhya-vollvergoldete-kupferstatue-38cm-230.html,4,10.0000,1.0000,0.0000,1,0,0,1,10.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/c/i/cintamani264_7.jpg,,1,0
,,,,Buddhas/Aksobhya,Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
